EntityNumber,TypeOfAddress,CountryNL,CountryFR,Zipcode,MunicipalityNL,MunicipalityFR,StreetNL,StreetFR,HouseNumber,Box,ExtraAddressInfo,DateStrikingOff,FullAddress,Latitude,Longitude
0895.233.289,REGO,,,2060,Antwerpen,Antwerpen,Ellermanstraat,Ellermanstraat,48,,,,"Ellermanstraat 48, 2060 Antwerpen, Belgium",51.2296408,4.418126434335198
0895.472.920,REGO,,,2060,Antwerpen,Antwerpen,Regentstraat,Regentstraat,1,,,,"Regentstraat 1, 2060 Antwerpen, Belgium",51.21981695,4.427483567841622
0895.726.902,REGO,,,2060,Antwerpen,Antwerpen,Van de Wervestraat,Van de Wervestraat,81,,,,"Van de Wervestraat 81, 2060 Antwerpen, Belgium",51.22644565,4.416759775979094
0895.752.735,REGO,,,2060,Antwerpen,Antwerpen,Van Wesenbekestraat,Van Wesenbekestraat,3,,,07-06-2011,"Van Wesenbekestraat 3, 2060 Antwerpen, Belgium",51.219335349999994,4.420562861191694
0895.803.710,REGO,,,2060,Antwerpen,Antwerpen,Merksemsestraat,Merksemsestraat,38,,,,"Merksemsestraat 38, 2060 Antwerpen, Belgium",51.2356291,4.426759255826102
0895.837.362,REGO,,,2060,Antwerpen,Antwerpen,Lange Dijkstraat,Lange Dijkstraat,57,101,,,"Lange Dijkstraat 57, 2060 Antwerpen, Belgium",51.22820405,4.418862678624938
0896.001.668,REGO,,,2060,Antwerpen,Antwerpen,Klappeistraat,Klappeistraat,32,,,,"Klappeistraat 32, 2060 Antwerpen, Belgium",51.2205036,4.42956605
0896.021.167,REGO,,,2060,Antwerpen,Antwerpen,Duinstraat,Duinstraat,48,,,,"Duinstraat 48, 2060 Antwerpen, Belgium",51.2221299,4.429096338332728
0896.021.761,REGO,,,2060,Antwerpen,Antwerpen,Maasstraat,Maasstraat,47,,,,"Maasstraat 47, 2060 Antwerpen, Belgium",51.0419445,4.480001518965517
0896.023.048,REGO,,,2060,Antwerpen,Antwerpen,Lange Lobroekstraat,Lange Lobroekstraat,212-214,,,,"Lange Lobroekstraat 212-214, 2060 Antwerpen, Belgium",51.231772050000004,4.4273178709130905
0896.108.269,REGO,,,2060,Antwerpen,Antwerpen,Handelstraat,Handelstraat,40,,,,"Handelstraat 40, 2060 Antwerpen, Belgium",51.223526143246694,4.428694689084181
0896.145.782,REGO,,,2060,Antwerpen,Antwerpen,Huybrechtsstraat,Huybrechtsstraat,27,,,,"Huybrechtsstraat 27, 2060 Antwerpen, Belgium",51.2192627,4.364540840838323
0896.156.967,REGO,,,2060,Antwerpen,Antwerpen,Maasstraat,Maasstraat,33,,,,"Maasstraat 33, 2060 Antwerpen, Belgium",51.041831900000005,4.479550449999997
0896.159.244,REGO,,,2060,Antwerpen,Antwerpen,Carnotstraat,Carnotstraat,146,,,,"Carnotstraat 146, 2060 Antwerpen, Belgium",51.2172235,4.428340852941179
0896.160.333,REGO,,,2060,Antwerpen,Antwerpen,Van Stralenstraat,Van Stralenstraat,88,,,,"Van Stralenstraat 88, 2060 Antwerpen, Belgium",51.221993600000005,4.419686970178104
0896.254.363,REGO,,,2060,Antwerpen,Antwerpen,IJzerlaan,IJzerlaan,39,,,,"IJzerlaan 39, 2060 Antwerpen, Belgium",51.235496499999996,4.4268043180331365
0896.354.135,REGO,,,2060,Antwerpen,Antwerpen,Kerkstraat,Kerkstraat,196,,,,"Kerkstraat 196, 2060 Antwerpen, Belgium",51.22008995,4.436153025996919
0896.475.582,REGO,,,2060,Antwerpen,Antwerpen,Pastorijstraat,Pastorijstraat,28,,,,"Pastorijstraat 28, 2060 Antwerpen, Belgium",51.2203012,4.432560492492796
