EntityNumber,omzet
0809.288.618,206111.58
0809.521.022,2669367.87
0809.606.837,1222045.76
0809.668.304,404111.44
0809.999.587,198610.88
0810.101.339,252001.66
0810.202.891,124220.08
0810.532.592,633.25
0810.653.447,24342.89
0810.720.654,17526
0810.816.565,65282.56
0810.862.788,403452.11
0811.097.964,88012.58
0811.148.939,1037599.7
0811.422.222,199292.10
0811.716.982,22242.02
0811.804.579,810900.97
0811.853.376,633282.6
0814.788.815,509350.97
0814.791.882,858588.42
0816.596.676,4197597.71
0816.775.137,23329.41
0816.899.257,20005.91
0817.047.925,1540853.15
0817.659.619,1237221.24
0817.708.218,28762.64
0817.970.910,75961.53
0818.042.669,393374.27
0818.794.816,198319.47
0819.021.280,350168.07
0819.023.755,541597.78
0819.640.102,1222599.29
0820.367.305,388232.84
0820.426.196,83965.05
0820.511.914,61625.81
0820.646.823,47326.36
0821.050.659,41556.06
0821.094.013,67620.32
0821.129.150,74353.28
0821.245.154,1207403.32
0821.428.860,71895.78
0821.577.924,1858108.11
0822.120.728,15936.11
0822.159.033,30313.97
0822.196.348,101517
0822.198.229,18007009.05
0822.574.945,805087.2
0822.592.563,54974.08
0822.699.263,131811.23
0822.715.396,44231.39
0822.926.719,434908.24
0823.112.504,51337.92
0823.121.313,17356137.03
0823.418.845,236505.04
0823.716.674,254135.83
0823.760.622,1205.89
0824.056.669,4860498.51
0824.172.970,156359.5
0825.309.256,401940.76
0825.857.109,170035.55
0826.079.516,57668.72
0826.182.157,58738.96
0826.453.163,967.25
0826.474.939,102810.83
0826.573.721,2933402.14
0826.617.271,118828.25
0827.526.202,775893.87
0827.550.154,1629199.27
0827.717.727,2492.96
0828.143.042,280584.51
0828.661.201,224918.94
0829.304.765,389287.46
0829.827.872,1120072.86
0830.099.472,434931
0830.293.274,596119.27
0830.369.785,655476.05
0830.448.177,323604.24
0830.502.914,326481.48
0830.994.050,990166.03
0831.368.093,249419.30
0832.117.369,29996.02
0832.288.110,437114.12
0832.370.559,716111.29
0832.463.007,5205548
0832.548.129,3973.26
0832.626.620,143833.55
0832.640.674,98287.97
0833.036.295,88221.83
0833.045.601,150829.81
0833.068.959,1937869.95
0833.333.928,36227.17
0834.054.401,67810.74
0834.154.270,63276.41
0834.244.639,156697.05
0834.536.827,1775742.81
0834.737.359,173144.29
0834.806.645,34000.65
0835.077.849,2117217
0835.724.482,16
0835.788.424,10835.91
0836.040.426,104194.69
0836.192.260,696932.93
0836.356.962,23043.37
0836.419.815,66312.87
0836.897.885,187052.55
0837.083.571,4505795.2
0837.466.425,1556651.35
0837.467.514,73074.96
0837.524.724,316257.69
0837.698.730,342383
0837.906.190,66734.14
0838.454.439,10461.88
0838.759.493,187451.01
0839.357.727,123344.27
0839.561.328,1060670.73
0839.961.404,334273.67
0840.415.324,12893.49
0840.506.780,110455.48
0840.543.701,865702.87
0840.613.084,42062.66
0840.933.877,49088.93
0840.953.277,37197.69
0841.174.793,636127.82
0841.378.592,3640.63
0841.397.202,177057.79
0841.703.543,529628.81
0841.707.996,12208.62
0841.960.691,320302.18
0842.029.185,73719.7
0842.074.816,55000
0842.123.217,201945.44
0842.257.730,990204.09
